;id;name;startDate;endDate
0;d1k1pqdg2yvw8e8my74yvrdw4;2022/2023;2022-08-05Z;2023-06-11Z
1;dp0vwa5cfgx2e733gg98gfhg4;2021/2022;2021-08-13Z;2022-05-29Z
2;bp1sjjiswd4t3nw86vf6yq7hm;2020/2021;2020-09-12Z;2021-05-23Z
3;84u7auf89eo1kvtnitmq9dizu;2019/2020;2019-08-02Z;2020-05-10Z
4;dk9v47m40z7lccjlyzhh4wsx6;2018/2019;2018-08-10Z;2019-05-28Z
5;c8zlmv1tc08kux34sown7lujt;2017/2018;2017-08-11Z;2018-05-19Z
6;8az4xxa1x98n0y43huxmaavop;2016/2017;2016-08-05Z;2017-05-28Z
7;3aeaqiwjhvk4ikz8ureupe7zd;2015/2016;2015-08-08Z;2016-05-22Z
8;f2s2aqubjnif16x7nu49ys34l;2014/2015;2014-08-08Z;2015-05-31Z
9;1d6uztze49i5ax5yfhyci4ety;2013/2014;2013-08-02Z;2014-05-18Z
10;2yw9i8g16s9ea8o9bz1yb1xw5;2012/2013;2012-08-10Z;2013-05-26Z
11;7zyxizjd67w6enggjhh14lo0l;2011/2012;2011-08-05Z;2012-05-20Z
12;54gb7216sceezre3sp4fy8zpx;2010/2011;2010-08-06Z;2011-05-29Z
13;aas11zaonw7teauv3shyx0ez9;2009/2010;2009-07-31Z;2010-05-16Z
14;2jco8lkk1i8x6ze25zano56mt;2008/2009;2008-08-29Z;2009-05-31Z
15;83um23yr6fe1zh3hs1zsexb6d;2007/2008;2007-08-17Z;2008-05-18Z
16;3vtlraikkuzos6j9nfc2xirit;2006/2007;2006-08-18Z;2007-05-27Z
17;7he3p22y8ukv1qs7mt0i4nb9x;2005/2006;2005-08-12Z;2006-05-14Z
18;d2i3ni4lzkmc51zdy5vlwpgph;2004/2005;2004-08-13Z;2005-05-22Z
19;8tej22j47bnp3mwh5odobdqz9;2003/2004;2003-08-15Z;2004-05-16Z
20;9gzhitkpekvpd65uwyg5oel1;2002/2003;2002-08-16Z;2003-05-29Z
21;9emhmm9d827nf2d3br5bhbrp;2001/2002;2001-08-17Z;2002-05-05Z
22;9cj7t2rk12sd4qm09key5oet;2000/2001;2000-08-18Z;2001-05-28Z
23;9ark8dddhlew44oxidhhb8id;1999/2000;1999-08-12Z;2000-05-14Z
24;db14dqg7q51kmc1khnah4flxx;1998/1999;1998-08-20Z;1999-05-23Z
25;dayv8c9gb5yizigrdlpstb3rp;1997/1998;1997-08-19Z;1998-05-10Z
26;datyscon42aw06xrr5m9987h1;1996/1997;1996-08-20Z;1997-06-01Z
27;dargwx4ci627ciaig8eukzff9;1995/1996;1995-01-13Z;1996-05-05Z
28;b6vbkl385r1rbfnz7cntng15h;1994/1995;1994-08-26Z;1995-05-28Z
29;b6qa2xqnm0qw9lirlvdtqy9xx;1993/1994;1993-08-14Z;1994-05-08Z
